arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
10412951,39308848,1,07-005543,2007-01-11 00:00:00,3,N,28,5,17,M,1,2,R,R,,,,
10419540,39329259,1,07-038729,2007-03-20 00:00:00,1,N,27,5,45,M,1,2,R,,,,,
10419525,39329223,2,07-038433,2007-03-19 00:00:00,1,N,27,5,22,M,1,2,N,,,,,
10419524,39329223,1,07-038433,2007-03-19 00:00:00,1,N,27,5,18,F,1,2,R,,,,,
10415116,39314792,1,07-015709,2007-02-01 00:00:00,3,N,27,5,29,M,2,2,R,,,,,
10414002,39310890,1,07-009776,2007-01-20 00:00:00,3,N,27,5,45,F,2,2,R,,,,,
10413979,39310831,1,07-009136,2007-04-08 00:00:00,3,N,27,5,21,M,2,2,R,,,,,
10418541,39327324,1,07-035942,2007-03-23 00:00:00,3,N,27,5,20,M,1,3,R,,,,,
10434908,39387400,1,07-123486,2007-08-22 00:00:00,3,N,27,5,37,M,2,2,R,,,,,
10431795,39374728,1,07-105681,2007-07-19 00:00:00,3,N,27,5,13,F,2,2,R,R,,,,
10431793,39374717,1,07-105593,2007-07-19 00:00:00,3,N,27,5,31,F,2,2,R,,,,,
10431780,39373833,1,07-104789,2007-07-18 00:00:00,3,N,27,5,36,M,2,2,R,,,,,
10433852,39383608,1,07-119172,2007-08-11 00:00:00,3,N,27,5,37,M,1,2,R,,,,,
10430686,39369858,1,07-098890,2007-07-07 00:00:00,3,N,27,5,30,M,1,2,R,,,,,
10433797,39382590,1,07-117520,2007-08-09 00:00:00,3,N,27,5,18,M,1,2,R,,,,,
10429558,39364143,1,07-091061,2007-06-24 00:00:00,3,N,27,5,24,M,1,2,R,,,,,
10429531,39364072,1,07-090404,2007-09-14 00:00:00,3,N,27,5,23,M,1,2,R,,,,,
10434907,39387395,1,07-123456,2007-08-19 00:00:00,3,N,27,5,26,M,1,2,R,,,,,
10431814,39374783,2,07-106079,2007-07-25 00:00:00,3,N,27,5,15,M,1,2,R,R,,,,
10431791,39374712,1,07-105532,2007-07-19 00:00:00,3,N,27,5,22,M,1,2,R,,,,,
9975261,37624100,1,07-187676,2007-12-29 00:00:00,3,N,28,5,20,F,1,2,R,,,,,
9975134,37620305,1,07-183302,2008-01-08 00:00:00,3,N,28,5,31,M,1,2,R,,,,,
10433859,39384447,1,07-119412,2007-08-11 00:00:00,3,N,27,5,19,M,2,2,R,,,,,
10433845,39383565,1,07-118894,2007-08-13 00:00:00,3,N,27,5,24,M,2,2,R,,,,,
10431764,39373732,1,07-103870,2007-07-16 00:00:00,3,N,27,5,42,M,2,2,R,,,,,
10431755,39372888,1,07-103540,2007-07-16 00:00:00,3,N,27,5,20,M,2,2,R,,,,,
10431730,39372782,1,07-102564,2007-07-14 00:00:00,3,N,27,5,20,M,2,2,R,,,,,
10430662,39368880,1,07-097549,2007-07-05 00:00:00,3,N,27,5,46,M,2,2,R,,,,,
10430657,39368048,1,07-097085,2007-08-01 00:00:00,3,N,27,5,21,M,2,2,R,,,,,
10429587,39365059,1,07-091901,2007-07-07 00:00:00,3,N,27,5,27,M,2,2,R,,,,,
10434867,39386451,1,07-122396,2007-08-17 00:00:00,3,N,27,5,42,F,2,2,R,,,,,
10434833,39385521,1,07-121490,2007-08-15 00:00:00,3,N,27,5,14,M,2,2,R,R,,,,
10433814,39383459,1,07-117975,2007-08-09 00:00:00,3,N,27,5,15,M,2,2,R,R,,,,
10433779,39382494,1,07-116800,2007-08-07 00:00:00,3,N,27,5,18,F,2,2,R,,,,,
10431672,39370887,1,07-100413,2007-07-10 00:00:00,3,N,27,5,13,M,2,2,R,R,,,,
10430633,39367937,1,07-096129,2007-07-10 00:00:00,3,N,27,5,51,M,2,2,R,,,,,
10430578,39366944,1,07-094384,2007-06-29 00:00:00,3,N,27,5,34,M,2,2,R,,,,,
10429556,39364137,1,07-091042,2007-06-24 00:00:00,3,N,27,5,40,F,2,2,R,,,,,
10429542,39364115,2,07-090788,2007-06-23 00:00:00,3,N,27,5,14,M,2,2,R,R,,,,
10429541,39364115,1,07-090788,2007-06-23 00:00:00,3,N,27,5,13,M,2,2,R,R,,,,
10429529,39364069,1,07-090379,2007-06-23 00:00:00,3,N,27,5,49,M,2,2,R,,,,,
10434803,39384566,1,07-120323,2007-08-13 00:00:00,3,N,27,5,13,M,2,2,R,R,,,,
10430572,39366109,3,07-094071,2007-06-29 00:00:00,3,N,27,5,18,M,2,2,R,,,,,
