arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
12948211,47883843,1,09-058831,2009-05-05 00:00:00,1,N,20,5,19,M,1,2,R,,,,,
12941714,47863385,1,09-027986,2009-03-04 00:00:00,1,N,20,5,49,F,1,2,N,,,,,
12940447,47856661,1,09-017345,2009-02-08 00:00:00,1,N,20,5,49,M,1,2,R,,,,,
12956788,47920836,2,09-112865,2009-09-09 00:00:00,3,N,20,5,28,M,1,2,R,,,,,
12956787,47920836,1,09-112865,2009-09-02 00:00:00,3,N,20,5,30,M,1,2,R,,,,,
12954679,47914974,1,09-104351,2009-07-30 00:00:00,3,N,20,5,60,M,1,2,R,,,,,
12963637,47949259,1,09-153588,2009-12-08 00:00:00,3,N,45,5,15,M,1,2,R,R,,,,
12962486,47944395,1,09-146918,2010-01-20 00:00:00,3,N,45,5,30,M,1,2,R,,,,,
12962470,47944320,1,09-146368,2009-10-22 00:00:00,3,N,45,5,45,F,1,2,R,,,,,
12962465,47943487,1,09-146237,2009-10-22 00:00:00,3,N,45,5,45,F,1,2,R,,,,,
12962388,47941519,1,09-143757,2009-11-25 00:00:00,3,N,45,5,21,M,1,2,R,,,,,
12962382,47941497,2,09-143583,2009-12-20 00:00:00,3,N,45,5,25,F,1,2,U,,,,,
12962381,47941497,1,09-143583,2009-12-01 00:00:00,3,N,45,5,26,F,1,2,R,,,,,
12961345,47939477,1,09-140417,2010-01-07 00:00:00,3,N,45,5,21,F,1,2,R,,,,,
12961335,47939448,1,09-140176,2009-10-13 00:00:00,3,N,45,5,20,F,1,2,R,,,,,
12960269,47935608,1,09-134705,2010-05-27 00:00:00,3,N,45,5,35,M,1,2,N,,,,,
12960231,47934639,2,09-133231,2009-09-23 00:00:00,3,N,45,5,36,M,1,2,N,,,,,
12960217,47934610,1,09-133082,2009-10-29 00:00:00,3,N,45,5,22,F,1,2,R,,,,,
12948301,47885774,1,09-061302,2009-06-03 00:00:00,3,N,45,5,22,M,1,2,N,,,,,
12951497,47899433,1,09-081401,2009-09-09 00:00:00,3,N,45,5,29,M,1,2,R,,,,,
12951490,47899395,1,09-081075,2010-07-15 00:00:00,3,N,45,5,31,M,1,2,U,,,,,
12950402,47895519,1,09-075757,2009-10-13 00:00:00,3,N,45,5,40,M,1,2,R,,,,,
12950360,47894533,1,09-074114,2009-08-01 00:00:00,3,N,45,5,22,F,1,2,U,,,,,
12950350,47893659,2,09-073675,2009-11-03 00:00:00,3,N,45,5,15,M,1,2,R,R,,,,
12951378,47896466,1,09-076755,2009-06-17 00:00:00,3,N,45,5,12,F,1,2,R,R,,,,
12951352,47895574,1,09-076195,2009-10-02 00:00:00,3,N,45,5,34,M,1,2,R,,,,,
12951351,47895573,2,09-076190,2009-06-08 00:00:00,3,N,45,5,26,M,1,2,R,,,,,
12953677,47908279,1,09-095807,2009-07-19 00:00:00,3,N,45,5,21,F,1,2,R,,,,,
12955723,47916983,1,09-107780,2009-12-11 00:00:00,3,N,45,5,41,F,1,2,R,,,,,
12953591,47906257,1,09-092172,2009-07-07 00:00:00,3,N,45,5,26,F,1,2,R,,,,,
12954564,47912072,2,09-100252,2009-07-30 00:00:00,3,N,45,5,32,M,1,2,R,,,,,
12940578,47859502,1,09-021995,2009-04-14 00:00:00,3,N,45,5,34,M,1,2,N,,,,,
12941607,47861441,1,09-025133,2009-02-25 00:00:00,3,N,45,5,36,M,1,2,R,,,,,
12942648,47866350,1,09-032991,2009-10-25 00:00:00,3,N,45,5,27,M,1,2,R,,,,,
12942622,47866278,2,09-032397,2009-03-26 00:00:00,3,N,45,5,26,M,1,2,R,,,,,
12942621,47866278,1,09-032397,2009-03-24 00:00:00,3,N,45,5,22,F,1,2,N,,,,,
12939300,47853635,1,09-010813,2009-01-24 00:00:00,3,N,45,5,37,M,1,2,R,,,,,
12942565,47865275,1,09-030267,2009-04-17 00:00:00,3,N,45,5,29,M,1,2,R,,,,,
12940414,47856537,2,09-015967,2009-09-04 00:00:00,3,N,45,5,29,M,1,2,R,,,,,
12942505,47863450,1,09-028487,2009-03-05 00:00:00,3,N,45,5,26,M,1,2,N,,,,,
12943825,47871212,1,09-040687,2009-03-29 00:00:00,3,N,45,5,47,M,1,2,R,,,,,
12943824,47871211,1,09-040685,2009-03-19 00:00:00,3,N,45,5,43,F,1,2,R,,,,,
12968079,47966044,1,10-073798,2010-06-10 00:00:00,3,N,45,5,47,M,1,2,R,,,,,
12968074,47965992,1,10-019899,2010-04-16 00:00:00,3,N,45,5,24,F,1,2,R,,,,,
12968060,47965075,1,10-001712,2010-01-05 00:00:00,3,N,45,5,21,F,1,2,R,,,,,
12965780,47956249,1,09-164269,2010-03-11 00:00:00,3,N,45,5,30,M,1,2,R,,,,,
12964660,47951347,2,09-157376,2009-11-16 00:00:00,3,N,45,5,30,F,1,2,R,,,,,
12964659,47951347,1,09-157376,2009-11-16 00:00:00,3,N,45,5,29,M,1,2,R,,,,,
12966820,47959094,1,09-167438,2010-02-03 00:00:00,3,N,45,5,36,F,1,2,R,,,,,
12965716,47955144,1,09-161623,2010-03-11 00:00:00,3,M,45,5,30,M,1,2,R,,,,,
12937213,47848896,4,09-002600,2009-01-07 00:00:00,3,N,45,5,24,F,1,2,R,,,,,
12937147,47844983,1,08-105692,2009-05-16 00:00:00,3,N,45,5,49,F,1,2,R,,,,,
