arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
22421005,78274386,1,16-000586,2016-01-02 00:00:00,2,N,23,5,24,M,1,2,R,,,,,
22402017,78204452,1,15-012648,2015-02-01 00:00:00,1,N,40,5,19,M,1,2,N,,,,,
22402018,78204452,2,15-012648,2015-02-01 00:00:00,1,N,40,5,31,M,2,2,R,,,,,
22402019,78204454,1,15-012658,2015-02-09 00:00:00,3,N,27,5,28,M,1,2,R,,,,,
26029835,89299449,2,15-002081,2016-12-09 00:00:00,3,N,48,5,32,M,2,2,R,,,,32,0
26029833,89299449,1,15-002081,2015-01-06 00:00:00,1,N,49,5,46,M,2,2,R,,,,46,0
25808075,88614996,1,16-071092,2016-08-31 00:00:00,3,N,43,5,28,M,1,2,R,,,,28,0
25807742,88613239,1,15-010641,2016-11-19 00:00:00,3,N,48,5,23,M,1,2,N,,,,23,0
25008245,86048574,1,15-000368,2016-07-13 00:00:00,3,N,48,5,25,M,2,2,R,,,,25,0
23974571,83071606,1,15-007069,2015-01-18 00:00:00,1,N,53,5,25,F,1,2,U,,,,25,0
23974573,83071617,1,15-002067,2015-01-06 00:00:00,3,N,28,5,46,M,2,2,R,,,,46,0
23974574,83071617,2,15-002067,2015-12-28 00:00:00,3,N,48,5,32,M,2,2,R,,,,32,0
24399319,84272390,1,15-001486,2015-06-19 00:00:00,3,N,48,5,26,M,2,2,N,,,,26,0
24399322,84272401,1,15-007331,2016-03-20 00:00:00,1,N,48,5,34,M,2,2,R,,,,34,0
23873173,82810037,1,15-003052,2015-11-04 00:00:00,3,N,48,5,38,M,2,2,R,,,,38,0
23874277,82810035,1,15-006078,2015-01-15 00:00:00,1,N,39,5,34,M,1,2,R,,,,34,0
23874281,82810743,1,15-005247,2015-04-08 00:00:00,3,N,23,5,31,M,1,2,R,,,,31,0
22400938,78202191,1,15-007616,2015-01-19 00:00:00,1,N,51,5,33,F,2,2,R,,,,,
22400939,78202201,1,15-007701,2015-04-01 00:00:00,3,N,5,5,26,M,2,2,R,,,,,
22400940,78202205,1,15-007765,2015-01-20 00:00:00,1,N,16,5,22,M,1,1,R,,,,,
22400941,78202206,1,15-007769,2015-01-20 00:00:00,1,N,16,5,20,M,2,2,R,,,,,
22400943,78202216,1,15-007898,2015-01-20 00:00:00,1,N,16,5,18,F,1,2,R,,,,,
22400944,78202220,1,15-007953,2015-01-20 00:00:00,1,N,23,5,30,F,1,2,R,,,,,
22400945,78202220,2,15-007953,2015-01-20 00:00:00,1,N,23,5,33,M,1,2,N,,,,,
22401978,78203437,1,15-011312,2015-01-28 00:00:00,1,N,51,5,24,F,1,1,R,,,,,
22401979,78203439,1,15-011317,2015-01-28 00:00:00,1,N,45,5,18,F,2,3,N,,,,,
22401980,78203441,1,15-011324,2015-01-28 00:00:00,1,N,23,5,37,F,2,3,R,,,,,
22401981,78203444,1,15-011385,2015-01-28 00:00:00,1,N,16,5,17,M,1,2,R,R,,,,
22401982,78203445,1,15-011463,2015-05-19 00:00:00,1,N,48,5,38,F,1,2,R,,,,,
22401983,78203459,1,15-011606,2015-01-29 00:00:00,1,N,23,5,35,M,1,3,R,,,,,
22401986,78203465,1,15-011629,2015-01-29 00:00:00,1,N,16,5,17,F,1,2,R,R,,,,
22400946,78202237,1,15-008057,2015-01-20 00:00:00,1,N,23,5,31,F,1,2,N,,,,,
22400947,78202238,1,15-008063,2015-01-20 00:00:00,1,N,23,5,22,M,1,3,R,,,,,
22400948,78202241,1,15-008142,2015-01-20 00:00:00,1,N,51,5,39,F,2,2,R,,,,,
22400949,78202241,2,15-008142,2015-01-20 00:00:00,1,N,51,5,27,F,2,2,R,,,,,
22400950,78202243,1,15-008192,2015-01-21 00:00:00,1,N,16,5,32,M,2,2,R,,,,,
22400990,78203269,1,15-009498,2015-01-24 00:00:00,1,N,23,5,23,F,2,2,R,,,,,
22400992,78203273,1,15-009551,2015-01-24 00:00:00,1,N,23,5,31,F,1,2,R,,,,,
22400993,78203277,1,15-009576,2015-01-24 00:00:00,1,N,23,5,40,F,1,3,R,,,,,
22400994,78203278,1,15-009587,2015-01-24 00:00:00,1,N,23,5,31,F,1,2,R,,,,,
22400995,78203283,1,15-009612,2015-01-24 00:00:00,1,N,23,5,31,F,1,2,R,,,,,
22400996,78203288,1,15-009678,2015-01-24 00:00:00,1,N,44,5,55,M,2,2,R,,,,,
22400997,78203289,1,15-009682,2015-01-24 00:00:00,1,N,23,5,17,F,1,2,N,R,,,,
22400998,78203290,1,15-009690,2015-01-24 00:00:00,1,N,35,5,64,M,1,2,R,,,,,
22401988,78204363,1,15-011732,2015-02-01 00:00:00,3,N,40,5,24,M,1,2,R,,,,,
22401989,78204368,1,15-011802,2015-01-30 00:00:00,1,N,16,5,63,M,2,2,N,,,,,
22401990,78204369,1,15-011803,2015-01-29 00:00:00,1,N,51,5,47,M,1,2,R,,,,,
22401991,78204372,1,15-011823,2015-01-30 00:00:00,1,N,51,5,26,M,1,2,R,,,,,
22401992,78204374,1,15-011854,2015-01-30 00:00:00,1,N,5,5,21,M,2,2,R,,,,,
22401993,78204379,1,15-011924,2015-03-02 00:00:00,3,N,32,5,44,M,2,2,R,,,,,
22401994,78204382,1,15-011960,2015-08-06 00:00:00,1,N,27,5,27,F,2,2,R,,,,,
22401995,78204383,1,15-011967,2015-01-30 00:00:00,1,N,51,5,16,M,2,2,R,R,,,,
22401996,78204391,1,15-012036,2015-04-27 00:00:00,1,N,28,5,46,M,2,2,R,,,,,
22401997,78204393,1,15-012062,2015-01-30 00:00:00,1,N,23,5,43,F,1,2,R,,,,,
22401998,78204393,2,15-012062,2015-01-30 00:00:00,1,N,23,5,43,F,1,2,R,,,,,
22401999,78204398,1,15-012115,2015-01-30 00:00:00,1,N,23,5,21,M,1,3,N,,,,,
22402002,78204401,1,15-012171,2015-01-30 00:00:00,1,N,51,5,45,M,1,2,R,,,,,
22402004,78204406,1,15-012260,2015-01-31 00:00:00,1,N,16,5,20,F,2,2,R,,,,,
22402005,78204407,1,15-012263,2015-03-03 00:00:00,3,N,51,5,30,M,1,2,R,,,,,
22402006,78204408,1,15-012270,2015-01-31 00:00:00,1,N,5,5,22,M,1,2,N,,,,,
22402007,78204409,1,15-012285,2015-01-31 00:00:00,1,N,51,5,21,M,1,2,R,,,,,
22402008,78204414,1,15-012346,2015-01-31 00:00:00,1,N,51,5,19,F,1,2,N,,,,,
22402009,78204424,1,15-012420,2015-03-02 00:00:00,3,N,51,5,22,M,2,2,R,,,,,
22402010,78204429,1,15-012451,2015-02-05 00:00:00,2,N,28,5,39,M,2,2,R,,,,,
22402011,78204430,1,15-012456,2015-01-31 00:00:00,1,N,51,5,14,M,2,2,R,R,,,,
22402012,78204433,1,15-012479,2015-01-31 00:00:00,1,N,5,5,20,M,1,2,R,,,,,
22402013,78204435,1,15-012491,2015-01-31 00:00:00,1,N,23,5,49,F,1,2,R,,,,,
22402014,78204437,1,15-012527,2015-02-16 00:00:00,3,N,51,5,54,M,2,2,R,,,,,
22402015,78204446,1,15-012585,2015-01-31 00:00:00,1,N,5,5,13,M,2,2,R,R,,,,
22400911,78201159,1,15-006177,2015-01-15 00:00:00,1,N,51,5,38,M,1,2,R,,,,,
22400912,78201176,1,15-006367,2015-01-16 00:00:00,3,N,23,5,33,M,1,2,R,,,,,
22400913,78201179,1,15-006387,2015-01-16 00:00:00,1,N,51,5,18,M,2,2,R,,,,,
24399320,84272392,1,15-002585,2016-03-03 00:00:00,3,N,48,5,22,M,2,2,R,,,,22,0
24400892,84275627,1,16-009291,2016-01-24 00:00:00,1,N,51,5,38,M,1,1,R,,,,38,0
25007532,86048620,1,15-009829,2016-07-29 00:00:00,3,N,5,5,45,M,2,2,R,,,,45,0
