arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
18397595,65818269,1,12-038979,2012-04-02 00:00:00,1,N,16,5,21,M,1,2,R,,,,,
18395439,65811774,1,12-028945,2012-03-12 00:00:00,1,N,16,5,16,M,1,2,R,R,,,,
18395416,65810746,1,12-027768,2012-03-09 00:00:00,1,N,16,5,16,M,1,2,R,H,,,,
18395401,65810695,1,12-027215,2012-03-13 00:00:00,1,N,16,5,38,M,1,2,R,,,,,
18394363,65808581,1,12-023837,2012-03-01 00:00:00,1,N,16,5,46,M,1,2,N,,,,,
18394332,65808479,2,12-022692,2012-02-25 00:00:00,1,N,16,5,17,M,1,2,R,R,,,,
18394326,65808473,1,12-022608,2012-03-01 00:00:00,1,N,16,5,49,M,1,2,R,,,,,
18393310,65806312,2,12-018797,2012-02-16 00:00:00,1,N,16,5,15,M,1,2,R,R,,,,
18393309,65806312,1,12-018797,2012-02-16 00:00:00,1,N,16,5,15,M,1,2,R,H,,,,
18393305,65805380,1,12-018756,2012-02-16 00:00:00,1,N,16,5,24,F,1,2,N,,,,,
18393297,65805365,2,12-018604,2012-02-15 00:00:00,1,N,16,5,21,M,1,2,R,,,,,
18393285,65805307,1,12-017934,2012-02-14 00:00:00,1,N,16,5,16,F,1,2,R,R,,,,
18393283,65805300,2,12-017774,2012-02-14 00:00:00,1,N,16,5,14,M,1,2,R,H,,,,
18394280,65807418,1,12-020917,2012-02-23 00:00:00,1,N,16,5,58,M,1,2,R,,,,,
18394272,65806444,1,12-020339,2012-02-20 00:00:00,1,N,16,5,31,M,1,2,R,,,,,
18394251,65806356,1,12-019432,2012-02-17 00:00:00,1,N,16,5,14,M,1,2,R,R,,,,
18393248,65804237,1,12-016218,2012-02-09 00:00:00,1,N,16,5,28,F,1,2,R,,,,,
18393244,65804228,1,12-016066,2012-02-10 00:00:00,1,N,16,5,33,F,1,2,R,,,,,
18393220,65804146,1,12-015129,2012-02-07 00:00:00,1,N,16,5,14,M,1,2,R,R,,,,
18392174,65800974,1,12-010655,2012-01-27 00:00:00,1,N,16,5,35,F,1,2,N,,,,,
18392173,65800971,1,12-010617,2012-01-27 00:00:00,1,N,16,5,16,M,1,2,R,R,,,,
18392138,65799974,1,12-009754,2012-01-25 00:00:00,1,N,16,5,30,M,1,2,N,,,,,
18392126,65799928,1,12-009355,2012-01-24 00:00:00,1,N,16,5,25,M,1,2,R,,,,,
18391078,65797746,2,12-005305,2012-01-14 00:00:00,1,N,16,5,44,F,1,2,R,,,,,
18391065,65797721,1,12-005117,2012-01-17 00:00:00,1,N,16,5,27,M,1,2,R,,,,,
18396611,65817162,1,12-037157,2012-03-29 00:00:00,1,N,16,5,40,M,1,2,N,,,,,
18396603,65817128,1,12-036774,2012-04-03 00:00:00,1,N,16,5,49,M,1,2,R,,,,,
18395542,65813937,1,12-032720,2012-03-20 00:00:00,1,N,16,5,25,F,1,2,R,,,,,
18395537,65813927,1,12-032568,2012-03-19 00:00:00,1,N,16,5,56,M,1,2,R,,,,,
18398747,65823604,1,12-047220,2012-04-19 00:00:00,1,N,16,5,17,M,1,2,R,R,,,,
18397713,65821381,1,12-043103,2012-04-10 00:00:00,1,N,16,5,17,M,1,2,R,R,,,,
18397708,65821363,1,12-042934,2012-04-10 00:00:00,1,N,16,5,39,M,1,2,R,,,,,
18397707,65821357,1,12-042882,2012-04-10 00:00:00,1,N,16,5,19,M,1,2,R,,,,,
18397667,65820306,1,12-041354,2012-04-06 00:00:00,1,N,16,5,45,M,1,2,N,,,,,
18397654,65819368,1,12-040842,2012-04-05 00:00:00,1,N,16,5,41,F,1,2,R,,,,,
18396528,65815016,1,12-034504,2012-03-23 00:00:00,1,N,16,5,15,M,1,2,R,R,,,,
18395498,65812874,1,12-030792,2012-03-16 00:00:00,1,N,16,5,36,M,1,2,R,,,,,
18394417,65809669,1,12-025785,2012-03-04 00:00:00,1,N,16,5,40,F,1,2,N,,,,,
18394415,65809660,1,12-025707,2012-03-04 00:00:00,1,N,16,5,49,F,1,2,R,,,,,
18394412,65809656,1,12-025679,2012-03-04 00:00:00,1,N,16,5,16,M,1,2,R,R,,,,
18394402,65809642,1,12-025496,2012-03-03 00:00:00,1,N,16,5,19,F,1,2,R,,,,,
18394385,65809583,1,12-024734,2012-03-02 00:00:00,1,N,16,5,22,M,1,2,R,,,,,
18393178,65803084,2,12-013457,2012-02-03 00:00:00,1,N,16,5,21,M,1,2,R,,,,,
18393174,65803073,1,12-013265,2012-02-02 00:00:00,1,N,16,5,19,F,1,2,R,,,,,
18393160,65802113,1,12-012750,2012-02-01 00:00:00,1,N,16,5,16,F,1,2,R,H,,,,
18393134,65801991,1,12-011621,2012-01-29 00:00:00,1,N,16,5,24,M,1,2,R,,,,,
18393127,65801062,1,12-011455,2012-01-29 00:00:00,1,N,16,5,38,M,1,2,R,,,,,
18392115,65799894,1,12-009008,2012-01-23 00:00:00,1,N,16,5,23,M,1,2,R,,,,,
18392082,65798882,1,12-007707,2012-01-20 00:00:00,1,N,16,5,33,F,1,2,R,,,,,
18392080,65798869,1,12-007574,2012-01-20 00:00:00,1,N,16,5,33,M,1,2,N,,,,,
18391039,65796714,1,12-004122,2012-01-11 00:00:00,1,N,16,5,57,F,1,2,R,,,,,
18391038,65796713,2,12-004102,2012-01-10 00:00:00,1,N,16,5,24,F,1,2,R,,,,,
18391036,65796709,2,12-004068,2012-01-10 00:00:00,1,N,16,5,41,F,1,2,R,,,,,
18391035,65796709,1,12-004068,2012-01-10 00:00:00,1,N,16,5,49,F,1,2,R,,,,,
18391031,65796692,1,12-003931,2012-01-10 00:00:00,1,N,16,5,30,M,1,2,R,,,,,
18391013,65796632,1,12-003245,2012-01-08 00:00:00,1,N,16,5,34,M,1,2,R,,,,,
18390984,65795621,1,12-002172,2012-01-06 00:00:00,1,N,16,5,20,M,1,2,R,,,,,
18390944,65794556,1,12-000443,2012-01-01 00:00:00,1,N,16,5,21,M,1,2,N,,,,,
18402208,65837399,1,12-069649,2012-06-02 00:00:00,1,N,35,5,45,F,1,3,R,,,,,
18417674,65901248,1,12-161772,2013-07-20 00:00:00,3,N,35,5,38,F,1,2,R,,,,,
18413213,65883210,1,12-138001,2012-10-24 00:00:00,3,N,35,5,38,M,1,2,R,,,,,
18412097,65878849,1,12-131160,2013-10-15 00:00:00,3,N,35,5,47,F,1,2,R,,,,,
18411035,65875678,1,12-126701,2012-09-29 00:00:00,3,N,35,5,32,M,1,2,R,,,,,
18413134,65882004,1,12-135129,2012-10-18 00:00:00,3,N,35,5,26,M,1,2,N,,,,,
18413101,65880984,1,12-134018,2012-10-15 00:00:00,3,N,35,5,27,M,1,2,N,,,,,
18412010,65876773,1,12-128388,2012-10-02 00:00:00,3,N,35,5,28,M,1,2,R,,,,,
18410895,65872498,3,12-122367,2012-09-19 00:00:00,3,N,35,5,25,M,1,2,N,,,,,
18410894,65872498,2,12-122367,2012-09-19 00:00:00,3,N,35,5,24,M,1,2,N,,,,,
18408679,65863877,1,12-109415,2012-08-22 00:00:00,3,N,35,5,18,M,1,2,R,,,,,
18397679,65820345,2,12-041796,2012-04-07 00:00:00,3,N,35,5,51,M,1,2,R,,,,,
18395505,65812909,1,12-031143,2012-03-16 00:00:00,3,N,35,5,28,M,1,2,R,,,,,
18394414,65809658,2,12-025694,2012-03-13 00:00:00,3,N,35,5,36,F,1,2,R,,,,,
18397621,65819286,1,12-040037,2013-10-17 00:00:00,3,N,35,5,24,M,1,2,R,,,,,
18396504,65814949,2,12-033779,2013-08-12 00:00:00,3,N,35,5,24,F,1,2,R,,,,,
18391051,65797664,1,12-004388,2012-01-11 00:00:00,3,N,35,5,27,M,1,2,N,,,,,
18406545,65856489,1,12-099880,2013-11-21 00:00:00,3,N,35,5,23,F,1,2,N,,,,,
18404489,65846856,1,12-084492,2012-07-01 00:00:00,3,N,35,5,32,M,1,2,N,,,,,
18405498,65848944,1,12-087666,2012-07-09 00:00:00,3,N,35,5,40,F,1,2,R,,,,,
18404411,65844716,1,12-081466,2012-06-25 00:00:00,3,N,35,5,35,M,1,2,N,,,,,
18399965,65829828,1,12-055585,2012-05-10 00:00:00,3,N,35,5,40,F,1,2,R,,,,,
18399950,65828888,1,12-055003,2012-05-05 00:00:00,3,N,35,5,39,F,1,2,R,,,,,
18398837,65825712,2,12-050045,2012-04-26 00:00:00,3,N,35,5,31,M,1,2,R,,,,,
18398800,65825609,1,12-049113,2012-04-24 00:00:00,3,N,35,5,23,F,1,2,R,,,,,
18402146,65836301,1,12-067428,2012-06-20 00:00:00,3,N,28,5,46,M,1,2,R,,,,,
18400005,65829947,1,12-056782,2012-05-10 00:00:00,3,N,28,5,16,F,1,2,R,R,,,,
18398897,65826759,2,12-051553,2012-05-03 00:00:00,3,N,28,5,54,M,1,2,R,,,,,
18413175,65882129,1,12-136272,2012-10-21 00:00:00,1,N,30,5,32,F,1,2,R,,,,,
18408722,65864945,1,12-110694,2012-08-24 00:00:00,1,N,30,5,44,F,1,2,R,,,,,
18408716,65864031,1,12-110646,2012-08-24 00:00:00,1,N,30,5,46,F,1,2,R,,,,,
18408713,65864028,1,12-110624,2012-08-24 00:00:00,1,N,30,5,32,F,1,2,R,,,,,
18397651,65819366,1,12-040795,2012-04-05 00:00:00,1,N,30,5,35,F,1,2,R,,,,,
18394399,65809636,1,12-025437,2012-03-03 00:00:00,1,N,30,5,25,F,1,2,R,,,,,
18395425,65811717,1,12-028382,2012-03-10 00:00:00,1,N,30,5,45,M,1,2,R,,,,,
18391079,65797747,1,12-005309,2012-01-14 00:00:00,1,N,30,5,39,F,1,2,R,,,,,
18391076,65797743,1,12-005294,2012-01-13 00:00:00,1,N,30,5,42,F,1,2,R,,,,,
18391075,65797741,1,12-005292,2012-01-13 00:00:00,1,N,30,5,37,F,1,2,R,,,,,
18406436,65854239,1,12-095591,2012-07-24 00:00:00,1,N,30,5,32,F,1,2,R,,,,,
18406428,65854225,1,12-095503,2012-07-23 00:00:00,1,N,30,5,34,F,1,2,R,,,,,
18397781,65823476,1,12-046100,2012-04-05 00:00:00,1,N,30,5,21,F,1,2,R,,,,,
18397726,65821460,1,12-043895,2012-04-05 00:00:00,1,N,30,5,19,F,1,2,R,,,,,
18397717,65821415,1,12-043437,2012-04-05 00:00:00,1,N,30,5,18,F,1,2,R,,,,,
18416633,65898129,1,12-157918,2012-12-27 00:00:00,3,N,28,5,27,M,1,2,R,,,,,
18412027,65876801,2,12-128594,2012-10-24 00:00:00,3,N,28,5,26,M,1,2,R,,,,,
18407556,65858578,1,12-102424,2012-08-06 00:00:00,3,N,28,5,21,M,1,2,N,,,,,
18391059,65797710,1,12-004998,2012-01-13 00:00:00,1,N,35,5,27,F,1,2,R,,,,,
18393161,65802113,2,12-012750,2012-02-01 00:00:00,1,N,35,5,16,M,1,2,R,H,,,,
18393157,65802088,1,12-012543,2012-02-01 00:00:00,1,N,35,5,24,F,1,2,R,,,,,
18392085,65798902,1,12-008015,2012-01-21 00:00:00,1,N,35,5,18,M,1,2,R,,,,,
18391012,65796626,1,12-003136,2012-01-08 00:00:00,1,N,35,5,34,F,1,2,R,,,,,
18392027,65797806,1,12-005994,2012-01-15 00:00:00,1,N,35,5,43,F,1,2,R,,,,,
18390987,65795631,1,12-002243,2012-01-06 00:00:00,1,N,35,5,23,M,1,2,N,,,,,
18390963,65795551,1,12-001454,2012-01-04 00:00:00,1,N,35,5,24,M,1,2,R,,,,,
18405632,65852190,1,12-092980,2012-07-18 00:00:00,1,N,35,5,36,F,1,2,R,,,,,
18404490,65846856,3,12-084492,2012-07-01 00:00:00,1,N,35,5,40,F,1,2,N,,,,,
18406521,65856359,2,12-098548,2012-07-30 00:00:00,1,N,35,5,50,M,1,2,R,,,,,
18406480,65855300,1,12-097128,2012-07-27 00:00:00,1,N,35,5,48,M,1,2,R,,,,,
18405522,65849955,1,12-088792,2012-07-10 00:00:00,1,N,35,5,31,M,1,2,R,,,,,
18404454,65845802,1,12-083217,2012-06-29 00:00:00,1,N,35,5,37,F,1,2,R,,,,,
18404421,65844748,2,12-081732,2012-06-26 00:00:00,1,N,35,5,59,F,1,2,R,,,,,
18402267,65838455,2,12-071449,2012-06-05 00:00:00,1,N,35,5,34,F,1,2,R,,,,,
18406442,65854255,4,12-095817,2012-07-24 00:00:00,1,N,35,5,34,F,1,2,R,,,,,
18406441,65854255,3,12-095817,2012-07-24 00:00:00,1,N,35,5,30,F,1,2,R,,,,,
18406440,65854255,1,12-095817,2012-07-24 00:00:00,1,N,35,5,32,M,1,2,R,,,,,
18403287,65840503,1,12-074445,2012-06-11 00:00:00,1,N,35,5,31,F,1,2,R,,,,,
18402248,65838404,1,12-070954,2012-06-04 00:00:00,1,N,35,5,30,M,1,2,N,,,,,
18402234,65838361,1,12-070493,2012-06-03 00:00:00,1,N,35,5,46,F,1,2,N,,,,,
18402166,65837278,1,12-068256,2012-05-30 00:00:00,1,N,35,5,27,F,1,2,R,,,,,
18402163,65837269,1,12-068146,2012-05-30 00:00:00,1,N,35,5,19,F,1,2,R,,,,,
18401088,65833132,1,12-062464,2012-05-19 00:00:00,1,N,35,5,18,F,1,2,N,,,,,
18400019,65830890,1,12-057328,2012-05-10 00:00:00,1,N,35,5,43,F,1,2,R,,,,,
18399993,65829926,1,12-056572,2012-05-08 00:00:00,1,N,35,5,45,F,1,2,R,,,,,
18406403,65853171,1,12-094113,2012-07-20 00:00:00,1,N,35,5,29,M,1,2,R,,,,,
18401014,65831948,1,12-058997,2012-05-13 00:00:00,1,N,35,5,32,M,1,2,R,,,,,
18401004,65831021,1,12-058672,2012-05-12 00:00:00,1,N,35,5,39,M,1,2,R,,,,,
18398888,65826736,1,12-051346,2012-04-28 00:00:00,1,N,35,5,35,M,1,2,R,,,,,
18400986,65830982,1,12-058367,2012-05-12 00:00:00,1,N,35,5,23,F,1,2,R,,,,,
18399910,65827856,1,12-053459,2012-05-02 00:00:00,1,N,35,5,24,F,1,2,R,,,,,
18399889,65827826,1,12-053108,2012-05-02 00:00:00,1,N,35,5,32,M,1,2,R,,,,,
18399882,65827812,1,12-052861,2012-05-01 00:00:00,1,N,35,5,40,F,1,2,R,,,,,
18398846,65825733,1,12-050252,2012-04-26 00:00:00,1,N,35,5,26,F,1,2,R,,,,,
18398806,65825625,1,12-049239,2012-04-24 00:00:00,1,N,35,5,22,F,1,2,R,,,,,
18398790,65824647,2,12-048587,2012-04-22 00:00:00,1,N,35,5,36,M,1,2,N,,,,,
18397770,65822528,1,12-045706,2012-04-16 00:00:00,1,N,35,5,24,M,1,2,N,,,,,
18397765,65822505,2,12-045441,2012-04-15 00:00:00,1,N,35,5,29,M,1,2,R,,,,,
18397714,65821381,2,12-043103,2012-04-10 00:00:00,1,N,35,5,16,M,1,2,R,R,,,,
18396661,65818268,1,12-038966,2012-04-01 00:00:00,1,N,35,5,35,M,1,2,R,,,,,
18411996,65876686,1,12-127642,2012-10-01 00:00:00,1,N,51,5,27,M,2,2,R,,,,,
18411995,65876682,1,12-127622,2012-10-01 00:00:00,1,N,51,5,48,M,2,2,N,,,,,
18411989,65875756,1,12-127428,2012-09-30 00:00:00,1,N,51,5,17,M,2,2,R,R,,,,
18411981,65875730,1,12-127193,2012-09-30 00:00:00,1,N,51,5,19,F,2,2,R,,,,,
18410924,65873476,1,12-123024,2012-09-20 00:00:00,1,N,51,5,16,M,2,2,R,R,,,,
18410919,65872546,2,12-122838,2012-09-20 00:00:00,1,N,51,5,17,M,2,2,R,R,,,,
18410918,65872546,1,12-122838,2012-09-20 00:00:00,1,N,51,5,15,F,2,2,R,R,,,,
18410917,65872542,1,12-122799,2012-09-20 00:00:00,1,N,51,5,12,M,2,2,R,H,,,,
18410906,65872504,1,12-122412,2012-09-19 00:00:00,1,N,51,5,19,M,2,2,R,,,,,
18410905,65872503,1,12-122411,2012-09-19 00:00:00,1,N,51,5,14,M,2,2,R,R,,,,
18410885,65872460,2,12-121945,2012-09-27 00:00:00,1,N,51,5,14,M,2,2,R,R,,,,
18410884,65872460,1,12-121945,2012-09-19 00:00:00,1,N,51,5,14,M,2,2,R,R,,,,
18410880,65872446,1,12-121791,2012-09-18 00:00:00,1,N,51,5,20,M,2,2,R,,,,,
18409873,65870343,1,12-119291,2012-09-06 00:00:00,1,N,51,5,14,M,2,2,R,R,,,,
18409866,65870323,1,12-119180,2012-09-12 00:00:00,1,N,51,5,37,M,2,2,R,,,,,
18409861,65870299,1,12-118920,2012-09-11 00:00:00,1,N,51,5,28,F,2,2,R,,,,,
18409836,65869290,1,12-118005,2012-09-09 00:00:00,1,N,51,5,40,M,2,2,R,,,,,
18409833,65869282,1,12-117916,2012-09-09 00:00:00,1,N,51,5,44,M,2,2,R,,,,,
18409823,65869215,1,12-117208,2012-09-07 00:00:00,1,N,51,5,41,M,2,2,R,,,,,
18409811,65868262,1,12-116889,2012-09-07 00:00:00,1,N,51,5,21,M,2,2,R,,,,,
18408794,65866093,2,12-113234,2012-09-06 00:00:00,1,N,51,5,14,M,2,2,R,R,,,,
18408775,65866012,1,12-112324,2012-08-28 00:00:00,1,N,51,5,15,M,2,2,R,R,,,,
18408765,65865086,1,12-112085,2012-08-28 00:00:00,1,N,51,5,22,M,2,2,R,,,,,
18408762,65865076,1,12-111952,2012-08-27 00:00:00,1,N,51,5,15,F,2,2,R,R,,,,
18408748,65865029,1,12-111487,2012-08-26 00:00:00,1,N,51,5,28,M,2,2,R,,,,,
18407698,65861831,1,12-107071,2012-08-17 00:00:00,1,N,51,5,45,M,2,2,R,,,,,
18407695,65861816,1,12-106905,2012-08-16 00:00:00,1,N,51,5,30,F,2,2,R,,,,,
18410875,65872417,1,12-121590,2012-09-17 00:00:00,1,N,51,5,16,M,2,2,R,R,,,,
18410865,65871478,1,12-121186,2012-09-16 00:00:00,1,N,51,5,32,M,2,2,R,,,,,
18409803,65868220,1,12-116486,2012-09-06 00:00:00,1,N,51,5,16,F,2,2,R,R,,,,
18409799,65868203,2,12-116380,2012-09-06 00:00:00,1,N,51,5,14,F,2,2,R,R,,,,
18409798,65868203,1,12-116380,2012-09-06 00:00:00,1,N,51,5,14,F,2,2,R,R,,,,
18409795,65868196,1,12-116287,2012-09-05 00:00:00,1,N,51,5,38,M,2,2,R,,,,,
18409790,65868154,1,12-115906,2012-09-05 00:00:00,1,N,51,5,12,F,2,2,R,R,,,,
18409786,65868140,1,12-115687,2012-09-04 00:00:00,1,N,51,5,30,M,2,2,R,,,,,
18409765,65867167,1,12-115053,2012-09-03 00:00:00,1,N,51,5,15,M,2,2,N,R,,,,
18408739,65865002,1,12-111200,2012-08-26 00:00:00,1,N,51,5,23,M,2,2,N,,,,,
18408729,65864978,1,12-110908,2012-08-25 00:00:00,1,N,51,5,14,M,2,2,R,R,,,,
18408717,65864032,1,12-110648,2012-08-24 00:00:00,1,N,51,5,47,M,2,2,R,,,,,
18396597,65817101,1,12-036598,2012-03-28 00:00:00,2,N,51,5,35,F,1,2,N,,,,,
18410888,65872468,1,12-122018,2012-09-18 00:00:00,1,N,51,5,48,F,5,2,R,,,,,
18408787,65866073,1,12-113050,2012-08-30 00:00:00,1,N,51,5,52,M,5,2,R,,,,,
18405490,65848917,1,12-087480,2012-07-07 00:00:00,1,N,51,5,26,M,5,2,R,,,,,
18402152,65836332,1,12-067685,2012-05-29 00:00:00,1,N,51,5,17,M,5,2,R,R,,,,
18401035,65832023,1,12-059979,2012-05-15 00:00:00,1,N,51,5,28,F,5,2,R,,,,,
18390988,65795638,1,12-002265,2012-01-06 00:00:00,1,N,51,5,12,M,2,2,R,R,,,,
18400987,65830984,1,12-058372,2012-05-12 00:00:00,1,N,51,5,40,M,2,2,R,,,,,
18399917,65828783,1,12-053799,2012-05-03 00:00:00,1,N,51,5,18,F,2,2,R,,,,,
18416546,65895979,1,12-154994,2012-12-06 00:00:00,1,N,51,5,31,M,0,1,R,,,,,
18391063,65797715,1,12-005043,2012-01-13 00:00:00,1,N,51,5,15,M,0,1,R,R,,,,
18398865,65826684,1,12-050808,2012-07-26 00:00:00,1,N,51,5,17,F,0,1,R,R,,,,
18413161,65882074,1,12-135771,2012-10-20 00:00:00,1,N,51,5,53,M,2,2,R,,,,,
18413144,65882037,1,12-135436,2012-10-19 00:00:00,1,N,51,5,52,M,2,2,R,,,,,
18412139,65879913,1,12-132448,2012-10-12 00:00:00,1,N,51,5,47,M,2,2,R,,,,,
